"26年03月","材料使用計画表","単位:材料=Kg 部品=個","作成日：","西暦26/03/16"
"部番","品名","在庫予定",,"合計","01*","02 ","03 ","04 ","05 ","06 ","07*","08*","09 ","10 ","11 ","12 ","13 ","14*","15*","16 ","17 ","18 ","19 ","20*","21*","22*","23 ","24 ","25 ","26 ","27 ","28*","29*","30 ","31 "
"5-0290","ﾊﾈｸﾞﾙﾏ ｼｬﾌﾄ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-0290","ﾊﾈｸﾞﾙﾏ ｼｬﾌﾄ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-0290","ﾊﾈｸﾞﾙﾏ ｼｬﾌﾄ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-0290","ﾊﾈｸﾞﾙﾏ ｼｬﾌﾄ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-0290","ﾊﾈｸﾞﾙﾏ ｼｬﾌﾄ",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-0290","ﾊﾈｸﾞﾙﾏ ｼｬﾌﾄ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-0290","ﾊﾈｸﾞﾙﾏ ｼｬﾌﾄ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-0390","50461-00110 ｲﾝｻｰﾄﾌﾞｯｼｭGAM",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-0390","50461-00110 ｲﾝｻｰﾄﾌﾞｯｼｭGAM",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-0390","50461-00110 ｲﾝｻｰﾄﾌﾞｯｼｭGAM",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-0390","50461-00110 ｲﾝｻｰﾄﾌﾞｯｼｭGAM",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-0390","50461-00110 ｲﾝｻｰﾄﾌﾞｯｼｭGAM",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-0390","50461-00110 ｲﾝｻｰﾄﾌﾞｯｼｭGAM",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-0390","50461-00110 ｲﾝｻｰﾄﾌﾞｯｼｭGAM",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-0391","ｳｹ",,"実在庫",5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,34442.0,34442.0,34442.0,34442.0,34442.0,34442.0,34442.0,34442.0,34442.0,34442.0,34442.0,34442.0,34442.0,34442.0,34442.0,34442.0
"5-0391","ｳｹ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-0391","ｳｹ",,"発注",29442.0,,,,,,,,,,,,,29442.0,,,,,,,,,,,,,,,,,,
"5-0391","ｳｹ",,"納入",29442.0,,,,,,,,,,,,,,,,29442.0,,,,,,,,,,,,,,,
"5-0391","ｳｹ",-36525.0,"予定在庫",-15960.0,-15960.0,-15960.0,-15960.0,-15960.0,-15960.0,-15960.0,-15960.0,-15960.0,-15960.0,-15960.0,-15960.0,-15960.0,-15960.0,-15960.0,-15960.0,-17400.0,-18840.0,-20280.0,-21720.0,-21720.0,-21720.0,-21720.0,-23835.0,-25950.0,-28065.0,-30180.0,-32295.0,-32295.0,-32295.0,-34410.0,-36525.0
"5-0391","ｳｹ",,"使用計画",20565.0,,,,,,,,,,,,,,,,1440.0,1440.0,1440.0,1440.0,,,,2115.0,2115.0,2115.0,2115.0,2115.0,,,2115.0,2115.0
